Record_ID,MOF,Legante,Ligand_SMILES,Ligand_InChIKey,Famiglia_Legante,Metallo,Sale_Metallico,Counterion_Class,Hydration_Number,Oxidation_State,Solvente,Solvent_1,Solvent_1_mL,Solvent_2,Solvent_2_mL,Solvent_3,Solvent_3_mL,Solvent_4,Solvent_4_mL,Solvent_5,Solvent_5_mL,Additivo_Colinker,mmol_Additive,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Volume_solvente_mL,Heating_Method,Microwave_Power_W,Workup,Outcome_Class,Outcome_Label,Outcome_Raw_Score,Outcome_Score_Scale,Outcome_Mapping_Rule,Curation_Policy,Yield_percent,BET_m2_g,PXRD_Confirmed,SCXRD_Confirmed,Evidence_Type,Evidence_Statement,Source_DOI,Source_Data_DOI,Article_Title,Extraction_Method,Extraction_Note,Protocol_Completeness,Precursor_Qualification,Experiment_Generation,Evidence_Quality_Weight
V11-HKUST-G1-01,HKUST-1 / Cu-BTC,"benzene-1,3,5-tricarboxylic acid (H3BTC)",O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,,Aromatic tricarboxylate,Cu,Cu nitrate (hydration not stated in Supplementary Data 1),nitrate,,2,H2O 0.5 mL / EtOH 5 mL / iPrOH 1 mL,H2O,0.5,DMF,0.0,EtOH,5.0,MeOH,0.0,iPrOH,1.0,Nessuno,,120,0.9666666666666667,,,1.1111111111111112,6.5,Automated microwave synthesis,174,Not encoded in the published Supplementary Data 1 table.,2,High-crystallinity target MOF,0.8,Normalized PXRD crystallinity and phase-purity fitness (0-1),Preregistered curation thresholds: <=0.30 class 0; 0.35-0.75 class 1; >=0.80 class 2. The continuous source score is retained.,V11-PXRD-NORMALIZED-0.30-0.80-v1,,367.0,True,False,PXRD FWHM plus phase-purity fitness,Published Supplementary Data 1 record G1-01; normalized crystallinity/phase-purity score 0.8.,10.1038/s41467-019-08483-9,10.24435/materialscloud:2018.0011/v3,Capturing chemical intuition in synthesis of metal-organic frameworks,direct_machine_readable_supplementary_csv,All nine experimental variables and the source outcome score were copied from the authors' CSV; absolute precursor amounts were not invented.,COMPLETE_CONDITIONS_RELATIVE_STOICHIOMETRY,Copper nitrate identity stated; hydration/absolute amount absent from shared CSV.,1.0,0.85
V11-HKUST-G1-02,HKUST-1 / Cu-BTC,"benzene-1,3,5-tricarboxylic acid (H3BTC)",O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,,Aromatic tricarboxylate,Cu,Cu nitrate (hydration not stated in Supplementary Data 1),nitrate,,2,H2O 5.5 mL / EtOH 0.5 mL,H2O,5.5,DMF,0.0,EtOH,0.5,MeOH,0.0,iPrOH,0.0,Nessuno,,182,0.95,,,0.5882352941176471,6.0,Automated microwave synthesis,248,Not encoded in the published Supplementary Data 1 table.,1,Partially successful / poor target crystallinity,0.55,Normalized PXRD crystallinity and phase-purity fitness (0-1),Preregistered curation thresholds: <=0.30 class 0; 0.35-0.75 class 1; >=0.80 class 2. The continuous source score is retained.,V11-PXRD-NORMALIZED-0.30-0.80-v1,,0.0,False,False,PXRD FWHM plus phase-purity fitness,Published Supplementary Data 1 record G1-02; normalized crystallinity/phase-purity score 0.55.,10.1038/s41467-019-08483-9,10.24435/materialscloud:2018.0011/v3,Capturing chemical intuition in synthesis of metal-organic frameworks,direct_machine_readable_supplementary_csv,All nine experimental variables and the source outcome score were copied from the authors' CSV; absolute precursor amounts were not invented.,COMPLETE_CONDITIONS_RELATIVE_STOICHIOMETRY,Copper nitrate identity stated; hydration/absolute amount absent from shared CSV.,1.0,0.85
V11-HKUST-G1-03,HKUST-1 / Cu-BTC,"benzene-1,3,5-tricarboxylic acid (H3BTC)",O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,,Aromatic tricarboxylate,Cu,Cu nitrate (hydration not stated in Supplementary Data 1),nitrate,,2,DMF 5.5 mL / EtOH 0.5 mL,H2O,0.0,DMF,5.5,EtOH,0.5,MeOH,0.0,iPrOH,0.0,Nessuno,,114,0.11666666666666667,,,0.5555555555555556,6.0,Automated microwave synthesis,155,Not encoded in the published Supplementary Data 1 table.,1,Partially successful / poor target crystallinity,0.7,Normalized PXRD crystallinity and phase-purity fitness (0-1),Preregistered curation thresholds: <=0.30 class 0; 0.35-0.75 class 1; >=0.80 class 2. The continuous source score is retained.,V11-PXRD-NORMALIZED-0.30-0.80-v1,,0.0,False,False,PXRD FWHM plus phase-purity fitness,Published Supplementary Data 1 record G1-03; normalized crystallinity/phase-purity score 0.7.,10.1038/s41467-019-08483-9,10.24435/materialscloud:2018.0011/v3,Capturing chemical intuition in synthesis of metal-organic frameworks,direct_machine_readable_supplementary_csv,All nine experimental variables and the source outcome score were copied from the authors' CSV; absolute precursor amounts were not invented.,COMPLETE_CONDITIONS_RELATIVE_STOICHIOMETRY,Copper nitrate identity stated; hydration/absolute amount absent from shared CSV.,1.0,0.85
V11-HKUST-G1-04,HKUST-1 / Cu-BTC,"benzene-1,3,5-tricarboxylic acid (H3BTC)",O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,,Aromatic tricarboxylate,Cu,Cu nitrate (hydration not stated in Supplementary Data 1),nitrate,,2,EtOH 5 mL,H2O,0.0,DMF,0.0,EtOH,5.0,MeOH,0.0,iPrOH,0.0,Nessuno,,198,0.06666666666666667,,,0.5882352941176471,5.0,Automated microwave synthesis,226,Not encoded in the published Supplementary Data 1 table.,1,Partially successful / poor target crystallinity,0.75,Normalized PXRD crystallinity and phase-purity fitness (0-1),Preregistered curation thresholds: <=0.30 class 0; 0.35-0.75 class 1; >=0.80 class 2. The continuous source score is retained.,V11-PXRD-NORMALIZED-0.30-0.80-v1,,0.0,False,False,PXRD FWHM plus phase-purity fitness,Published Supplementary Data 1 record G1-04; normalized crystallinity/phase-purity score 0.75.,10.1038/s41467-019-08483-9,10.24435/materialscloud:2018.0011/v3,Capturing chemical intuition in synthesis of metal-organic frameworks,direct_machine_readable_supplementary_csv,All nine experimental variables and the source outcome score were copied from the authors' CSV; absolute precursor amounts were not invented.,COMPLETE_CONDITIONS_RELATIVE_STOICHIOMETRY,Copper nitrate identity stated; hydration/absolute amount absent from shared CSV.,1.0,0.85
V11-HKUST-G1-05,HKUST-1 / Cu-BTC,"benzene-1,3,5-tricarboxylic acid (H3BTC)",O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,,Aromatic tricarboxylate,Cu,Cu nitrate (hydration not stated in Supplementary Data 1),nitrate,,2,H2O 0.5 mL / DMF 4.5 mL,H2O,0.5,DMF,4.5,EtOH,0.0,MeOH,0.0,iPrOH,0.0,Nessuno,,108,0.8333333333333334,,,1.1111111111111112,5.0,Automated microwave synthesis,250,Not encoded in the published Supplementary Data 1 table.,1,Partially successful / poor target crystallinity,0.75,Normalized PXRD crystallinity and phase-purity fitness (0-1),Preregistered curation thresholds: <=0.30 class 0; 0.35-0.75 class 1; >=0.80 class 2. The continuous source score is retained.,V11-PXRD-NORMALIZED-0.30-0.80-v1,,0.0,False,False,PXRD FWHM plus phase-purity fitness,Published Supplementary Data 1 record G1-05; normalized crystallinity/phase-purity score 0.75.,10.1038/s41467-019-08483-9,10.24435/materialscloud:2018.0011/v3,Capturing chemical intuition in synthesis of metal-organic frameworks,direct_machine_readable_supplementary_csv,All nine experimental variables and the source outcome score were copied from the authors' CSV; absolute precursor amounts were not invented.,COMPLETE_CONDITIONS_RELATIVE_STOICHIOMETRY,Copper nitrate identity stated; hydration/absolute amount absent from shared CSV.,1.0,0.85
V11-HKUST-G1-06,HKUST-1 / Cu-BTC,"benzene-1,3,5-tricarboxylic acid (H3BTC)",O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,,Aromatic tricarboxylate,Cu,Cu nitrate (hydration not stated in Supplementary Data 1),nitrate,,2,H2O 5 mL / DMF 0.5 mL,H2O,5.0,DMF,0.5,EtOH,0.0,MeOH,0.0,iPrOH,0.0,Nessuno,,101,0.1,,,1.1111111111111112,5.5,Automated microwave synthesis,176,Not encoded in the published Supplementary Data 1 table.,1,Partially successful / poor target crystallinity,0.35,Normalized PXRD crystallinity and phase-purity fitness (0-1),Preregistered curation thresholds: <=0.30 class 0; 0.35-0.75 class 1; >=0.80 class 2. The continuous source score is retained.,V11-PXRD-NORMALIZED-0.30-0.80-v1,,0.0,False,False,PXRD FWHM plus phase-purity fitness,Published Supplementary Data 1 record G1-06; normalized crystallinity/phase-purity score 0.35.,10.1038/s41467-019-08483-9,10.24435/materialscloud:2018.0011/v3,Capturing chemical intuition in synthesis of metal-organic frameworks,direct_machine_readable_supplementary_csv,All nine experimental variables and the source outcome score were copied from the authors' CSV; absolute precursor amounts were not invented.,COMPLETE_CONDITIONS_RELATIVE_STOICHIOMETRY,Copper nitrate identity stated; hydration/absolute amount absent from shared CSV.,1.0,0.85
V11-HKUST-G1-07,HKUST-1 / Cu-BTC,"benzene-1,3,5-tricarboxylic acid (H3BTC)",O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,,Aromatic tricarboxylate,Cu,Cu nitrate (hydration not stated in Supplementary Data 1),nitrate,,2,DMF 0.5 mL / MeOH 1 mL / iPrOH 4 mL,H2O,0.0,DMF,0.5,EtOH,0.0,MeOH,1.0,iPrOH,4.0,Nessuno,,107,1.0,,,0.5555555555555556,5.5,Automated microwave synthesis,232,Not encoded in the published Supplementary Data 1 table.,1,Partially successful / poor target crystallinity,0.65,Normalized PXRD crystallinity and phase-purity fitness (0-1),Preregistered curation thresholds: <=0.30 class 0; 0.35-0.75 class 1; >=0.80 class 2. The continuous source score is retained.,V11-PXRD-NORMALIZED-0.30-0.80-v1,,0.0,False,False,PXRD FWHM plus phase-purity fitness,Published Supplementary Data 1 record G1-07; normalized crystallinity/phase-purity score 0.65.,10.1038/s41467-019-08483-9,10.24435/materialscloud:2018.0011/v3,Capturing chemical intuition in synthesis of metal-organic frameworks,direct_machine_readable_supplementary_csv,All nine experimental variables and the source outcome score were copied from the authors' CSV; absolute precursor amounts were not invented.,COMPLETE_CONDITIONS_RELATIVE_STOICHIOMETRY,Copper nitrate identity stated; hydration/absolute amount absent from shared CSV.,1.0,0.85
V11-HKUST-G1-08,HKUST-1 / Cu-BTC,"benzene-1,3,5-tricarboxylic acid (H3BTC)",O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,,Aromatic tricarboxylate,Cu,Cu nitrate (hydration not stated in Supplementary Data 1),nitrate,,2,H2O 1 mL / iPrOH 4.5 mL,H2O,1.0,DMF,0.0,EtOH,0.0,MeOH,0.0,iPrOH,4.5,Nessuno,,158,0.1,,,1.0,5.5,Automated microwave synthesis,249,Not encoded in the published Supplementary Data 1 table.,1,Partially successful / poor target crystallinity,0.4,Normalized PXRD crystallinity and phase-purity fitness (0-1),Preregistered curation thresholds: <=0.30 class 0; 0.35-0.75 class 1; >=0.80 class 2. The continuous source score is retained.,V11-PXRD-NORMALIZED-0.30-0.80-v1,,0.0,False,False,PXRD FWHM plus phase-purity fitness,Published Supplementary Data 1 record G1-08; normalized crystallinity/phase-purity score 0.4.,10.1038/s41467-019-08483-9,10.24435/materialscloud:2018.0011/v3,Capturing chemical intuition in synthesis of metal-organic frameworks,direct_machine_readable_supplementary_csv,All nine experimental variables and the source outcome score were copied from the authors' CSV; absolute precursor amounts were not invented.,COMPLETE_CONDITIONS_RELATIVE_STOICHIOMETRY,Copper nitrate identity stated; hydration/absolute amount absent from shared CSV.,1.0,0.85
V11-HKUST-G1-09,HKUST-1 / Cu-BTC,"benzene-1,3,5-tricarboxylic acid (H3BTC)",O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,,Aromatic tricarboxylate,Cu,Cu nitrate (hydration not stated in Supplementary Data 1),nitrate,,2,MeOH 5.5 mL,H2O,0.0,DMF,0.0,EtOH,0.0,MeOH,5.5,iPrOH,0.0,Nessuno,,138,0.3333333333333333,,,0.6666666666666666,5.5,Automated microwave synthesis,211,Not encoded in the published Supplementary Data 1 table.,2,High-crystallinity target MOF,0.8,Normalized PXRD crystallinity and phase-purity fitness (0-1),Preregistered curation thresholds: <=0.30 class 0; 0.35-0.75 class 1; >=0.80 class 2. The continuous source score is retained.,V11-PXRD-NORMALIZED-0.30-0.80-v1,,0.0,True,False,PXRD FWHM plus phase-purity fitness,Published Supplementary Data 1 record G1-09; normalized crystallinity/phase-purity score 0.8.,10.1038/s41467-019-08483-9,10.24435/materialscloud:2018.0011/v3,Capturing chemical intuition in synthesis of metal-organic frameworks,direct_machine_readable_supplementary_csv,All nine experimental variables and the source outcome score were copied from the authors' CSV; absolute precursor amounts were not invented.,COMPLETE_CONDITIONS_RELATIVE_STOICHIOMETRY,Copper nitrate identity stated; hydration/absolute amount absent from shared CSV.,1.0,0.85
V11-HKUST-G1-10,HKUST-1 / Cu-BTC,"benzene-1,3,5-tricarboxylic acid (H3BTC)",O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,,Aromatic tricarboxylate,Cu,Cu nitrate (hydration not stated in Supplementary Data 1),nitrate,,2,H2O 4 mL / MeOH 0.5 mL,H2O,4.0,DMF,0.0,EtOH,0.0,MeOH,0.5,iPrOH,0.0,Nessuno,,200,0.06666666666666667,,,0.5882352941176471,4.5,Automated microwave synthesis,154,Not encoded in the published Supplementary Data 1 table.,0,Very low target crystallinity / failed target synthesis,0.1,Normalized PXRD crystallinity and phase-purity fitness (0-1),Preregistered curation thresholds: <=0.30 class 0; 0.35-0.75 class 1; >=0.80 class 2. The continuous source score is retained.,V11-PXRD-NORMALIZED-0.30-0.80-v1,,0.0,False,False,PXRD FWHM plus phase-purity fitness,Published Supplementary Data 1 record G1-10; normalized crystallinity/phase-purity score 0.1.,10.1038/s41467-019-08483-9,10.24435/materialscloud:2018.0011/v3,Capturing chemical intuition in synthesis of metal-organic frameworks,direct_machine_readable_supplementary_csv,All nine experimental variables and the source outcome score were copied from the authors' CSV; absolute precursor amounts were not invented.,COMPLETE_CONDITIONS_RELATIVE_STOICHIOMETRY,Copper nitrate identity stated; hydration/absolute amount absent from shared CSV.,1.0,0.85
